name,party,district,onfb,onptt,total
羅致政,民進黨,新北市第7選舉區,96,198,294
林滄敏,國民黨,彰化縣第2選舉區,91,200,291
邱議瑩,民進黨,高雄市第1選舉區,140,150,290
楊石城,民國黨,基隆市選舉區,140,148,288
潘懷宗,新黨,台北市第2選舉區,131,152,283
林國春,國民黨,新北市第6選舉區,129,148,277
陳淑慧,國民黨,台南市第4選舉區,145,129,274
蔡適應,民進黨,基隆市選舉區,103,166,269
黃志雄,國民黨,新北市第5選舉區,129,137,266
吾爾開希,大愛憲改聯盟,不分區,148,108,256
張廖萬堅,民進黨,台中市第4選舉區,104,145,249
林國正,國民黨,高雄市第9選舉區,97,151,248
陳尚志,綠黨社會民主黨聯盟,台北市第4選舉區,184,62,246
張鎔麒,國民黨,雲林縣第1選舉區,179,62,241
王廷升,國民黨,花蓮縣選舉區,64,170,234
孫大千,國民黨,桃園市第6選舉區,92,139,231
李根政,綠黨社會民主黨聯盟,不分區,127,104,231
陳文彬,民進黨,彰化縣第1選舉區,106,119,225
歐崇敬,親民黨,新竹市選舉區,42,182,224
何欣純,民進黨,台中市第7選舉區,89,131,220
李昆澤,民進黨,高雄市第6選舉區,116,102,218
唐慧琳,新黨,不分區,47,169,216
劉世芳,民進黨,高雄市第3選舉區,97,115,212
許秀雯,綠黨社會民主黨聯盟,不分區,116,89,205
江永昌,民進黨,新北市第8選舉區,66,137,203
孔文吉,國民黨,山地原住民選舉區,90,112,202
張宏陸,民進黨,新北市第6選舉區,77,123,200
許榮淑,健保免費連線,不分區,112,87,199
張麗善,國民黨,不分區,90,107,197
王寶萱,綠黨社會民主黨聯盟,桃園市第1選舉區,123,72,195
林江釧,國民黨,嘉義縣第1選舉區,59,129,188
陳怡潔,親民黨,不分區,66,121,187
沈智慧,國民黨,台中市第6選舉區,67,119,186
林為洲,國民黨,新竹縣選舉區,67,118,185
李婉鈺,無黨籍,新北市第7選舉區,116,68,184
呂玉玲,國民黨,桃園市第5選舉區,67,115,182
郭倫豪,國民黨,高雄市第4選舉區,61,120,181
陳雪生,國民黨,連江縣選舉區,71,110,181
蔡易餘,民進黨,嘉義縣第1選舉區,31,148,179
林少馳,時代力量,台北市第4選舉區,90,88,178
蔣乃辛,國民黨,台北市第6選舉區,55,117,172
胡筑生,國民黨,不分區,87,83,170
林靜儀,民進黨,不分區,87,78,165
李天鐸,民國黨,不分區,133,32,165
許毓仁,國民黨,不分區,78,87,165
陳玉梅,國民黨,不分區,72,92,164
康世儒,民國黨,苗栗縣第1選舉區,45,115,160
蕭曉玲,自由台灣黨,不分區,83,77,160
康仁俊,親民黨,新北市第6選舉區,45,115,160
杜文卿,民進黨,苗栗縣第1選舉區,59,92,151
黃昭展,無黨籍,屏東縣第3選舉區,60,89,149
林岱樺,民進黨,高雄市第4選舉區,62,87,149
吳焜裕,民進黨,不分區,111,33,144
陳朝容,親民黨,彰化縣第3選舉區,44,97,141
鄭秀玲,時代力量,不分區,69,71,140
李乾龍,國民黨,新北市第3選舉區,56,82,138
陳歐珀,民進黨,宜蘭縣選舉區,62,76,138
潘翰聲,樹黨,不分區,43,95,138
林炳坤,無黨籍黨團結聯盟,不分區,49,87,136
李幸長,無黨籍,新北市第9選舉區,64,72,136
蔡金晏,國民黨,高雄市第5選舉區,70,65,135
葉青,親民黨,不分區,93,38,131
邱志偉,民進黨,高雄市第2選舉區,58,73,131
楊麗環,國民黨,桃園市第4選舉區,49,81,130
陳建華,中華統一促進黨,不分區,45,84,129
黃柏霖,國民黨,高雄市第6選舉區,61,68,129
翁壽良,無黨籍,嘉義市選舉區,26,102,128
吳琪銘,民進黨,新北市第10選舉區,49,77,126
鄭寶清,民進黨,桃園市第4選舉區,51,74,125
黃璽文,國民黨,高雄市第8選舉區,62,62,124
余莓莓,民進黨,不分區,58,63,121
林俊憲,民進黨,台南市第4選舉區,37,82,119
林依瑩,時代力量,不分區,71,48,119
張肇良,民進黨,桃園市第5選舉區,26,92,118
蘇震清,民進黨,屏東縣第1選舉區,49,68,117
李正皓,國民黨,不分區,59,57,116
鍾易仲,國民黨,高雄市第1選舉區,48,67,115
林麗蟬,國民黨,不分區,69,44,113
賴瑞隆,民進黨,高雄市第9選舉區,54,58,112
董建一,中華民國機車黨,新北市第9選舉區,61,51,112
楊曜,民進黨,澎湖縣選舉區,49,63,112
馬文君,國民黨,南投縣第1選舉區,33,78,111
陳永福,民進黨,新北市第11選舉區,46,64,110
黃韻涵,國民黨,高雄市第2選舉區,56,53,109
施義芳,民進黨,不分區,68,39,107
陳滄江,民進黨,金門縣選舉區,32,73,105
鍾佳濱,民進黨,屏東縣第2選舉區,25,80,105
鄭天財,國民黨,平地原住民選舉區,52,52,104
徐榛蔚,國民黨,不分區,50,54,104
陳宜民,國民黨,不分區,73,30,103
蔡培慧,民進黨,不分區,80,21,101
余宛如,民進黨,不分區,61,38,99
陳惠敏,時代力量,高雄市第7選舉區,58,37,95
柯志恩,國民黨,不分區,69,25,94
徐國勇,民進黨,不分區,37,56,93
吳成典,新黨,金門縣選舉區,20,73,93
張誠,民國黨,桃園市第5選舉區,51,42,93
李德維,國民黨,不分區,49,42,91
陳賴素美,民進黨,桃園市第2選舉區,29,61,90
陳素月,民進黨,彰化縣第4選舉區,18,70,88
張錦昆,國民黨,彰化縣第4選舉區,29,57,86
林家興,國民黨,不分區,42,44,86
簡東明,國民黨,山地原住民選舉區,24,62,86
廖婉汝,國民黨,屏東縣第1選舉區,22,62,84
吳玉琴,民進黨,不分區,50,33,83
吳威志,國民黨,雲林縣第2選舉區,23,59,82
黃秀芳,民進黨,彰化縣第2選舉區,19,61,80
董保城,信心希望聯盟,不分區,21,59,80
陳奕齊,台灣團結聯盟,不分區,41,39,80
黃瑞坤,國民黨,台南市第1選舉區,48,31,79
莊啟旺,國民黨,高雄市第7選舉區,37,41,78
陳曼麗,民進黨,不分區,54,21,75
鍾孔炤,民進黨,不分區,63,12,75
黃耀盛,國民黨,台南市第2選舉區,39,35,74
