name,page-name,page-id,likes,talking-about,party,dist,percent
江啟臣,江啟臣服務讚,johnnyccchiang,22691,3755,國民黨,台中市第8選舉區,16.548411264377947
邱毅,邱毅『談天論地話縱橫』,127907197272507,31015,5058,新黨,不分區,16.308237949379333
郝龍斌,好基隆 郝龍斌,haulb,72515,11657,國民黨,基隆市選舉區,16.075294766600017
蔡易餘,蔡易餘 家己人,chaiyionefish,15515,2466,民進黨,嘉義縣第1選舉區,15.89429584273284
柯建銘,柯建銘,kerchenming,140266,22061,民進黨,新竹市選舉區,15.727973992271826
蘇巧慧,蘇巧慧,chiaohui.su,70832,10195,民進黨,新北市第5選舉區,14.393212107522025
趙天麟,趙天麟,skychao6238,102327,14610,民進黨,高雄市第7選舉區,14.2777566038289
徐永明,徐永明教授,polymh,24067,3435,時代力量,不分區,14.27265550338638
黃偉哲,立法委員 黃偉哲,taiwanweicher,20874,2957,民進黨,台南市第2選舉區,14.165948069368591
吳育昇,吳育昇,yeswuasheng,15976,2160,國民黨,新北市第1選舉區,13.520280420630945
蕭美琴,蕭美琴,Bikhim,53407,7153,民進黨,花蓮縣選舉區,13.393375400228436
孫大千,"孫大千Sun, Ta-Chien",1503745219913314,15833,2094,國民黨,桃園市第6選舉區,13.225541590349271
吳育仁,吳育仁《觀照下的願力新世界》,Labour.tw,12731,1673,國民黨,嘉義市選舉區,13.141151519912025
黃志雄,黃志雄&洪佳君,ly11051,19768,2402,國民黨,新北市第5選舉區,12.150951031970862
邱志偉,邱志偉,1588286501409955,30712,3726,民進黨,高雄市第2選舉區,12.132065642094297
陳素月,陳素月SayYes,chengSayYes,11842,1366,民進黨,彰化縣第4選舉區,11.535213646343523
吳宜臻,吳宜臻,2014voteformiaoli,12637,1418,民進黨,苗栗縣第2選舉區,11.221017646593337
黃昭展,黃昭展在地服務團隊,pingtungH,12185,1277,無黨籍,屏東縣第3選舉區,10.480098481739844
潘建志,BillyPan 潘建志醫師,billypan102,164806,17139,無黨籍,台北市第3選舉區,10.399500018203222
黃珊珊,台北市議員黃珊珊,taipei33,81204,7566,親民黨,台北市第4選舉區,9.317275011083199
康世儒,康世儒,Kangshihju,19080,1728,民國黨,苗栗縣第1選舉區,9.056603773584905
林為洲,林為洲,weijoteam,52550,4694,國民黨,新竹縣選舉區,8.93244529019981
陳亭妃,立法委員 陳亭妃,fififans,23358,2002,民進黨,台南市第3選舉區,8.570939292747667
李婉鈺,李婉鈺的園地,wanyu.newtaipeicity,14768,1229,無黨籍,新北市第7選舉區,8.32204767063922
陳歐珀,陳歐珀,chenoupo,17480,1416,民進黨,宜蘭縣選舉區,8.100686498855836
姚文智,姚文智翻台北,YaoTurningTaipei,30825,2274,民進黨,台北市第2選舉區,7.377128953771289
劉建國,劉建國,liucnko.fans,32302,2304,民進黨,雲林縣第2選舉區,7.1326852826450375
管碧玲,管碧玲 (kuanbiling),biling.kuan,18209,1297,民進黨,高雄市第5選舉區,7.12285133725081
羅明才,羅明才,mtlo.tw,12564,788,國民黨,新北市第11選舉區,6.271887933779051
張麗善,張麗善粉絲團,yunlin.lishan,55442,3135,國民黨,不分區,5.6545579163810835
余莓莓,余莓莓,152375864844407,13825,749,民進黨,不分區,5.417721518987341
郭正亮,郭正亮,199506260092407,13433,682,民進黨,不分區,5.077049058289288
楊世光,楊世光的新視野,362509207185719,22921,1066,新黨,不分區,4.650756947777148
吳威志,吳威志,WishYunlin,18749,780,國民黨,雲林縣第2選舉區,4.160221878500186
陳學聖,陳學聖,junglicity,22608,906,國民黨,桃園市第3選舉區,4.007430997876858
曾銘宗,曾銘宗,TsengMingChung,12751,115,國民黨,不分區,0.9018900478393852
鄭麗君,鄭麗君,love.lichiun,11526,103,民進黨,不分區,0.8936317889987854
尤美女,尤美女立委,yumeinu,15947,111,民進黨,不分區,0.6960556844547563
顧立雄,顧立雄,Taipei.WellingtonKoo,27605,53,民進黨,不分區,0.19199420394856004
蘇嘉全,蘇嘉全,torosu,102583,117,民進黨,不分區,0.11405398555316183
